ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
dae,Li48.8La24.0Ta11.6Sm4.4O96.0,230,12.8525,12.8525,12.8525,90.0,90.0,90.0,1.4e-05,10.1021/acs.inorgchem.7b00816,Match,"**Method Name:** Solid-State Synthesis Method

**Procedure Summary:**
The materials were prepared using a conventional solid-state synthesis method. First, the precursor oxides La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated. These pre-treated oxides were then combined with lithium nitrate (LiNO$_3$, with a 10 wt.% excess to compensate for Li loss) and tantalum pentoxide (Ta$_2$O$_5$). This mixture was subjected to a two-stage ball milling process, with an intermediate calcination step. After the second ball milling, the resulting powder was pressed into pellets. Finally, these pellets underwent a multi-step sintering process at progressively higher temperatures.

**Key Conditions:**
*   **Precursors:** La$_2$O$_3$, Sm$_2$O$_3$, LiNO$_3$ (10 wt.% excess), Ta$_2$O$_5$.
*   **Precursor Pre-heating:** La$_2$O$_3$ and Sm$_2$O$_3$ were pre-heated at 900 °C for 12 hours in air.
*   **Ball Milling:** Two stages of ball milling were performed using Zirconia media and isopropanol for 6 hours each at 200 rpm.
*   **Calcination:** An intermediate calcination step was carried out at 700 °C for 6 hours, with a heating rate of 5 °C/min.
*   **Sintering:** The pellets were sintered in a multi-step process, with a heating rate of 5 °C/min for each step:
    *   900 °C for 6 hours
    *   1050 °C for 6 hours
    *   1150 °C for 6 hours
*   **Atmosphere:** Air (for pre-heating and implied for all subsequent heating steps)."
9p1,Li56.0La24.0Zr16.0O96.0,230,12.9682,12.9682,12.9682,90.0,90.0,90.0,0.000569,10.1016/j.ssi.2010.12.010,No Match,
gkl,Li40.0La24.0Nb16.0O96.0,230,12.718,12.718,12.718,90.0,90.0,90.0,5.08e-06,10.1016/j.jpowsour.2011.05.031,Close Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
ijh,Li40.0La24.0Nb15.6Y0.4O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,1.34e-05,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
q46,Li40.0La24.0Nb15.2Y0.8O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,1.44e-05,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
8m3,Li40.0La24.0Nb14.8Y1.2O96.0,230,12.732,12.732,12.732,90.0,90.0,90.0,5.71e-06,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
zyx,Li40.0La24.0Nb14.4Y1.6O96.0,230,12.743,12.743,12.743,90.0,90.0,90.0,9.13e-06,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
qvu,Li40.0La24.0Nb14.0Y2.0O96.0,230,12.717,12.717,12.717,90.0,90.0,90.0,9.68e-06,10.1016/j.jpowsour.2011.05.031,No Match,"**Method Name:** Solid State Reaction (or Ceramic Method)

**Procedure Summary:**
The garnet-type solid electrolytes were prepared using a solid-state reaction method. High purity precursors, including LiNO3, pre-heated La2O3, Nb2O5, and Y(NO3)3, were weighed out, with a 10 wt% excess of LiNO3 added to account for potential Li2O volatilization during subsequent annealing steps. The mixed precursors were then ball milled in 2-propanol using zirconia balls. This mixture underwent an initial heat treatment, after which the powders were ball milled again. The resulting powders were then pressed into dense pellets using an isostatic press. Finally, these pellets were sintered, with care taken to cover them with the same powder to suppress further Li2O volatilization.

**Key Conditions:**
*   **La2O3 Pre-treatment:** 800 °C for 24 hours.
*   **Ball Milling:** 200 rpm for 12 hours (performed twice: once initially, and once after the intermediate heat treatment).
*   **Intermediate Heat Treatment:** 700 °C for 6 hours.
*   **Pellet Pressing:** 300 kN for 5 minutes using an isostatic press.
*   **Sintering:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1000-1100 °C for 6 hours.
*   **Atmosphere:** Air (for all heat treatments and sintering steps)."
v07,La24.0Zr16.0Ga4.0Li44.0O96.0,230,12.9697,12.9697,12.9697,90.0,90.0,90.0,0.0001,10.1039/c2dt31318a,No Match,
whw,Li54.4La24.0Zr14.4Sb1.6O96.0,230,12.9755,12.9755,12.9755,90.0,90.0,90.0,5.9e-05,10.1039/c3cp50991e,No Match,
duf,Li52.8La24.0Zr12.8Sb3.2O96.0,230,12.9596,12.9596,12.9596,90.0,90.0,90.0,0.00077,10.1039/c3cp50991e,Close Match,
dll,Li51.2La24.0Zr11.2Sb4.8O96.0,230,12.9518,12.9518,12.9518,90.0,90.0,90.0,0.00066,10.1039/c3cp50991e,No Match,
i90,Li49.6La24.0Zr9.6Sb6.4O96.0,230,12.9248,12.9248,12.9248,90.0,90.0,90.0,0.00045,10.1039/c3cp50991e,No Match,
dm9,Li48.0La24.0Zr8.0Sb8.0O96.0,230,12.9237,12.9237,12.9237,90.0,90.0,90.0,0.00026,10.1039/c3cp50991e,No Match,
bqx,Li24.0Nd24.0Te16.0O96.0,230,12.5625,12.5625,12.5625,90.0,90.0,90.0,1e-15,10.1021/cm060992t,No Match,
32j,Li56.0La24.0Hf16.0O96.0,230,12.938,12.938,12.938,90.0,90.0,90.0,0.00024,10.1007/s11581-010-0486-2,No Match,
z53,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.9594,12.9594,12.9594,90.0,90.0,90.0,0.000313,10.1021/am503731h,No Match,
8y4,Li52.8La23.0Y1.0Zr12.8Ta3.2O96.0,230,12.9572,12.9572,12.9572,90.0,90.0,90.0,0.000317,10.1021/am503731h,No Match,
ucw,Li52.8La22.0Y2.0Zr12.8Ta3.2O96.0,230,12.9506,12.9506,12.9506,90.0,90.0,90.0,0.000436,10.1021/am503731h,No Match,
ff9,Li52.8La20.0Y4.0Zr12.8Ta3.2O96.0,230,12.9479,12.9479,12.9479,90.0,90.0,90.0,0.000226,10.1021/am503731h,No Match,
2mn,Li56.0La24.0Zr16.0O96.0,230,12.968,12.968,12.968,90.0,90.0,90.0,0.000511,10.1002/anie.200701144,No Match,
8ee,Li51.2Al1.52La24.0Zr16.0O94.4,230,12.972,12.972,12.972,90.0,90.0,90.0,0.00031,10.1016/j.jpowsour.2012.02.100,No Match,
8k7,Li40.0La24.0Ta16.0O96.0,230,12.85,12.85,12.85,90.0,90.0,90.0,1.54e-06,10.1016/j.ssi.2009.11.015,No Match,
b7v,Li40.0La24.0Bi16.0O96.0,230,13.052,13.052,13.052,90.0,90.0,90.0,2.2e-05,10.1016/j.ssi.2017.03.030,No Match,
66a,Li54.0La24.0Zr14.0Nb2.0O96.0,230,12.9519,12.9519,12.9519,90.0,90.0,90.0,0.0008,10.1016/j.jpowsour.2010.11.089,No Match,
3rh,Li52.0La24.0Nb10.0Y6.0O96.0,230,12.9488,12.9488,12.9488,90.0,90.0,90.0,0.00027,10.1021/jp304737x,Match,"Based on the provided paper, the synthesis method described is for novel Li-stuffed garnet-like compounds with the general formula Li$_{5+2x}$La$_3$Nb$_{2-x}$Y$_x$O$_{12}$ (where 0.05 $\leq x \leq$ 0.75). The specific materials listed in your request do not precisely match this stoichiometry. However, the processing method used for the garnet compounds in this paper is as follows:

**Method Name:** Solid-State Ceramic Technique (or Solid-State Reaction)

**Procedure Summary:**
The materials were prepared using a conventional solid-state ceramic technique. First, stoichiometric amounts of high-purity precursors (LiNO$_3$, preheated La$_2$O$_3$, Nb$_2$O$_5$, and Y(NO$_3$)$_3$) were weighed, with an additional 10 wt% excess of LiNO$_3$ added to compensate for lithium loss during high-temperature annealing. These precursors were then homogeneously mixed by ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls. This mixing step was performed both before and after an initial heat treatment. The mixed powders underwent an initial heat treatment at 700 °C for 6 hours. Subsequently, the resulting powders were pressed into pellets using an isostatic press. These pellets were then subjected to a two-stage sintering process in clean alumina crucibles, covered with ""mother powder"" to minimize volatilization.

**Key Conditions:**
*   **Precursors:** LiNO$_3$ (99%, Alfa Aesar, 10 wt% excess), La$_2$O$_3$ (99.99%, Alfa Aesar, preheated at 900 °C for 24 h), Nb$_2$O$_5$ (99.5%, Alfa Aesar), Y(NO$_3$)$_3$ (99.9%, Alfa Aesar).
*   **Mixing:** Ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls.
*   **Atmosphere:** Air (for all heat treatments).
*   **Crucible:** Clean alumina crucibles, with pellets covered by mother powder during sintering.
*   **Initial Heat Treatment:** 700 °C for 6 hours.
*   **Sintering Temperatures/Times:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1100 °C for 6 hours."
kh3,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.945,12.945,12.945,90.0,90.0,90.0,0.00092,10.1039/c2jm31413d,Close Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The garnet-related oxides were prepared by combining stoichiometric amounts of precursor powders: lithium carbonate (Li$_2$CO$_3$), lanthanum oxide (La$_2$O$_3$, pre-heated at 900 °C for 12 hours), zirconium dioxide (ZrO$_2$), and tantalum pentoxide (Ta$_2$O$_5$). To compensate for lithium loss during subsequent high-temperature processing, a 10 wt% excess of Li$_2$CO$_3$ was added. The mixed powders were initially ground, then heated to 900 °C to decompose the metal salts. After this initial heat treatment, the powders were ground again, pressed into a pellet, and finally annealed. During the final annealing step, the pellet was covered with the same mother powder and placed in an alumina crucible.

**Key Conditions:**
The final annealing conditions varied depending on the composition (x value):
*   **For Li56.0La24.0Zr16.0O96.0 (x=0):** Annealed at 1230 °C for 36 hours in air.
*   **For Li54.4La24.0Zr14.4Ta1.6O96.0 (x=0.2), Li52.8La24.0Zr12.8Ta3.2O96.0 (x=0.4), Li52.0La24.0Zr12.0Ta4.0O96.0 (x=0.5), and Li51.2La24.0Zr11.2Ta4.8O96.0 (x=0.6):** Annealed at 1140 °C for 16 hours in air.
*   **For Li49.6La24.0Zr9.6Ta6.4O96.0 (x=0.8) and Li48.0La24.0Zr8.0Ta8.0O96.0 (x=1.0):** Annealed at 1120 °C for 8 hours in air.

All annealing steps were performed in an alumina crucible with the pellet covered by mother powder."
zqx,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.948,12.948,12.948,90.0,90.0,90.0,0.00073,10.1039/c2jm31413d,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The garnet-related oxides were prepared by combining stoichiometric amounts of precursor powders: lithium carbonate (Li$_2$CO$_3$), lanthanum oxide (La$_2$O$_3$, pre-heated at 900 °C for 12 hours), zirconium dioxide (ZrO$_2$), and tantalum pentoxide (Ta$_2$O$_5$). To compensate for lithium loss during subsequent high-temperature processing, a 10 wt% excess of Li$_2$CO$_3$ was added. The mixed powders were initially ground, then heated to 900 °C to decompose the metal salts. After this initial heat treatment, the powders were ground again, pressed into a pellet, and finally annealed. During the final annealing step, the pellet was covered with the same mother powder and placed in an alumina crucible.

**Key Conditions:**
The final annealing conditions varied depending on the composition (x value):
*   **For Li56.0La24.0Zr16.0O96.0 (x=0):** Annealed at 1230 °C for 36 hours in air.
*   **For Li54.4La24.0Zr14.4Ta1.6O96.0 (x=0.2), Li52.8La24.0Zr12.8Ta3.2O96.0 (x=0.4), Li52.0La24.0Zr12.0Ta4.0O96.0 (x=0.5), and Li51.2La24.0Zr11.2Ta4.8O96.0 (x=0.6):** Annealed at 1140 °C for 16 hours in air.
*   **For Li49.6La24.0Zr9.6Ta6.4O96.0 (x=0.8) and Li48.0La24.0Zr8.0Ta8.0O96.0 (x=1.0):** Annealed at 1120 °C for 8 hours in air.

All annealing steps were performed in an alumina crucible with the pellet covered by mother powder."
o5q,Li54.4La24.0Zr14.4Ta1.6O96.0,230,12.964,12.964,12.964,90.0,90.0,90.0,0.00028,10.1039/c2jm31413d,Close Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The garnet-related oxides were prepared by combining stoichiometric amounts of precursor powders: lithium carbonate (Li$_2$CO$_3$), lanthanum oxide (La$_2$O$_3$, pre-heated at 900 °C for 12 hours), zirconium dioxide (ZrO$_2$), and tantalum pentoxide (Ta$_2$O$_5$). To compensate for lithium loss during subsequent high-temperature processing, a 10 wt% excess of Li$_2$CO$_3$ was added. The mixed powders were initially ground, then heated to 900 °C to decompose the metal salts. After this initial heat treatment, the powders were ground again, pressed into a pellet, and finally annealed. During the final annealing step, the pellet was covered with the same mother powder and placed in an alumina crucible.

**Key Conditions:**
The final annealing conditions varied depending on the composition (x value):
*   **For Li56.0La24.0Zr16.0O96.0 (x=0):** Annealed at 1230 °C for 36 hours in air.
*   **For Li54.4La24.0Zr14.4Ta1.6O96.0 (x=0.2), Li52.8La24.0Zr12.8Ta3.2O96.0 (x=0.4), Li52.0La24.0Zr12.0Ta4.0O96.0 (x=0.5), and Li51.2La24.0Zr11.2Ta4.8O96.0 (x=0.6):** Annealed at 1140 °C for 16 hours in air.
*   **For Li49.6La24.0Zr9.6Ta6.4O96.0 (x=0.8) and Li48.0La24.0Zr8.0Ta8.0O96.0 (x=1.0):** Annealed at 1120 °C for 8 hours in air.

All annealing steps were performed in an alumina crucible with the pellet covered by mother powder."
0ew,Li48.0La24.0Zr8.0Ta8.0O96.0,230,12.891,12.891,12.891,90.0,90.0,90.0,0.00016,10.1039/c2jm31413d,No Match,"**Method Name:**
Conventional Solid-State Reaction

**Procedure Summary:**
The garnet-related oxides were prepared by combining stoichiometric amounts of precursor powders: lithium carbonate (Li$_2$CO$_3$), lanthanum oxide (La$_2$O$_3$, pre-heated at 900 °C for 12 hours), zirconium dioxide (ZrO$_2$), and tantalum pentoxide (Ta$_2$O$_5$). To compensate for lithium loss during subsequent high-temperature processing, a 10 wt% excess of Li$_2$CO$_3$ was added. The mixed powders were initially ground, then heated to 900 °C to decompose the metal salts. After this initial heat treatment, the powders were ground again, pressed into a pellet, and finally annealed. During the final annealing step, the pellet was covered with the same mother powder and placed in an alumina crucible.

**Key Conditions:**
The final annealing conditions varied depending on the composition (x value):
*   **For Li56.0La24.0Zr16.0O96.0 (x=0):** Annealed at 1230 °C for 36 hours in air.
*   **For Li54.4La24.0Zr14.4Ta1.6O96.0 (x=0.2), Li52.8La24.0Zr12.8Ta3.2O96.0 (x=0.4), Li52.0La24.0Zr12.0Ta4.0O96.0 (x=0.5), and Li51.2La24.0Zr11.2Ta4.8O96.0 (x=0.6):** Annealed at 1140 °C for 16 hours in air.
*   **For Li49.6La24.0Zr9.6Ta6.4O96.0 (x=0.8) and Li48.0La24.0Zr8.0Ta8.0O96.0 (x=1.0):** Annealed at 1120 °C for 8 hours in air.

All annealing steps were performed in an alumina crucible with the pellet covered by mother powder."
a6v,Li43.2La24.0Nb14.4Y6.0O96.0,230,12.9488,12.9488,12.9488,90.0,90.0,90.0,2.51e-05,10.1021/jp304737x,No Match,"Based on the provided paper, the synthesis method described is for novel Li-stuffed garnet-like compounds with the general formula Li$_{5+2x}$La$_3$Nb$_{2-x}$Y$_x$O$_{12}$ (where 0.05 $\leq x \leq$ 0.75). The specific materials listed in your request do not precisely match this stoichiometry. However, the processing method used for the garnet compounds in this paper is as follows:

**Method Name:** Solid-State Ceramic Technique (or Solid-State Reaction)

**Procedure Summary:**
The materials were prepared using a conventional solid-state ceramic technique. First, stoichiometric amounts of high-purity precursors (LiNO$_3$, preheated La$_2$O$_3$, Nb$_2$O$_5$, and Y(NO$_3$)$_3$) were weighed, with an additional 10 wt% excess of LiNO$_3$ added to compensate for lithium loss during high-temperature annealing. These precursors were then homogeneously mixed by ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls. This mixing step was performed both before and after an initial heat treatment. The mixed powders underwent an initial heat treatment at 700 °C for 6 hours. Subsequently, the resulting powders were pressed into pellets using an isostatic press. These pellets were then subjected to a two-stage sintering process in clean alumina crucibles, covered with ""mother powder"" to minimize volatilization.

**Key Conditions:**
*   **Precursors:** LiNO$_3$ (99%, Alfa Aesar, 10 wt% excess), La$_2$O$_3$ (99.99%, Alfa Aesar, preheated at 900 °C for 24 h), Nb$_2$O$_5$ (99.5%, Alfa Aesar), Y(NO$_3$)$_3$ (99.9%, Alfa Aesar).
*   **Mixing:** Ball milling at 200 rpm for 12 hours in 2-propanol using zirconium balls.
*   **Atmosphere:** Air (for all heat treatments).
*   **Crucible:** Clean alumina crucibles, with pellets covered by mother powder during sintering.
*   **Initial Heat Treatment:** 700 °C for 6 hours.
*   **Sintering Temperatures/Times:**
    *   First stage: 900 °C for 24 hours.
    *   Second stage: 1100 °C for 6 hours."
tbj,Li40.0La24.0Sb16.0O96.0,230,12.8467,12.8467,12.8467,90.0,90.0,90.0,3.33e-06,10.1016/j.ssi.2008.01.002,Match,
dbs,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.954,12.954,12.954,90.0,90.0,90.0,0.000794,10.3389/fenrg.2016.00028,No Match,"**Method Name:**
Conventional Solid State Reaction Method

**Procedure Summary:**
Stoichiometric amounts of precursor materials, specifically LiOH⋅H2O (with a 10% excess to compensate for lithium evaporation), La(OH)3, BaCO3, ZrO2, and Ta2O5, were initially ground and mixed using a planetary ball mill with zirconia balls and ethanol. The resulting mixture was then calcined. After calcination, the powders were re-ground using planetary ball milling. These re-ground powders were subsequently pressed into pellets via cold isostatic pressing (CIP). Finally, the pellets were sintered, with each pellet covered by its own mother powder to minimize lithium loss and prevent the formation of undesired secondary phases.

**Key Conditions:**
*   **Initial Mixing:** Planetary ball milling for 3 hours with zirconia balls and ethanol.
*   **Calcination:** 900°C for 6 hours in a Pt–Au 5% alloy crucible.
*   **Re-grinding:** Planetary ball milling for 1 hour.
*   **Pellet Pressing:** Cold isostatic pressing (CIP) at 300 MPa.
*   **Sintering:** 1150°C for 15 hours in air, using a Pt–Au 5% alloy crucible. Pellets were covered with mother powder during sintering."
bt0,Li52.0La23.6Ba0.4Zr11.6Ta4.4O96.0,230,12.949,12.949,12.949,90.0,90.0,90.0,0.000832,10.3389/fenrg.2016.00028,No Match,"**Method Name:**
Conventional Solid State Reaction Method

**Procedure Summary:**
Stoichiometric amounts of precursor materials, specifically LiOH⋅H2O (with a 10% excess to compensate for lithium evaporation), La(OH)3, BaCO3, ZrO2, and Ta2O5, were initially ground and mixed using a planetary ball mill with zirconia balls and ethanol. The resulting mixture was then calcined. After calcination, the powders were re-ground using planetary ball milling. These re-ground powders were subsequently pressed into pellets via cold isostatic pressing (CIP). Finally, the pellets were sintered, with each pellet covered by its own mother powder to minimize lithium loss and prevent the formation of undesired secondary phases.

**Key Conditions:**
*   **Initial Mixing:** Planetary ball milling for 3 hours with zirconia balls and ethanol.
*   **Calcination:** 900°C for 6 hours in a Pt–Au 5% alloy crucible.
*   **Re-grinding:** Planetary ball milling for 1 hour.
*   **Pellet Pressing:** Cold isostatic pressing (CIP) at 300 MPa.
*   **Sintering:** 1150°C for 15 hours in air, using a Pt–Au 5% alloy crucible. Pellets were covered with mother powder during sintering."
dti,Li52.0La23.2Ba0.8Zr11.2Ta4.8O96.0,230,12.944,12.944,12.944,90.0,90.0,90.0,0.000834,10.3389/fenrg.2016.00028,No Match,"**Method Name:**
Conventional Solid State Reaction Method

**Procedure Summary:**
Stoichiometric amounts of precursor materials, specifically LiOH⋅H2O (with a 10% excess to compensate for lithium evaporation), La(OH)3, BaCO3, ZrO2, and Ta2O5, were initially ground and mixed using a planetary ball mill with zirconia balls and ethanol. The resulting mixture was then calcined. After calcination, the powders were re-ground using planetary ball milling. These re-ground powders were subsequently pressed into pellets via cold isostatic pressing (CIP). Finally, the pellets were sintered, with each pellet covered by its own mother powder to minimize lithium loss and prevent the formation of undesired secondary phases.

**Key Conditions:**
*   **Initial Mixing:** Planetary ball milling for 3 hours with zirconia balls and ethanol.
*   **Calcination:** 900°C for 6 hours in a Pt–Au 5% alloy crucible.
*   **Re-grinding:** Planetary ball milling for 1 hour.
*   **Pellet Pressing:** Cold isostatic pressing (CIP) at 300 MPa.
*   **Sintering:** 1150°C for 15 hours in air, using a Pt–Au 5% alloy crucible. Pellets were covered with mother powder during sintering."
7gm,Li52.0La22.4Ba1.6Zr10.4Ta5.6O96.0,230,12.952,12.952,12.952,90.0,90.0,90.0,0.000631,10.3389/fenrg.2016.00028,No Match,"**Method Name:**
Conventional Solid State Reaction Method

**Procedure Summary:**
Stoichiometric amounts of precursor materials, specifically LiOH⋅H2O (with a 10% excess to compensate for lithium evaporation), La(OH)3, BaCO3, ZrO2, and Ta2O5, were initially ground and mixed using a planetary ball mill with zirconia balls and ethanol. The resulting mixture was then calcined. After calcination, the powders were re-ground using planetary ball milling. These re-ground powders were subsequently pressed into pellets via cold isostatic pressing (CIP). Finally, the pellets were sintered, with each pellet covered by its own mother powder to minimize lithium loss and prevent the formation of undesired secondary phases.

**Key Conditions:**
*   **Initial Mixing:** Planetary ball milling for 3 hours with zirconia balls and ethanol.
*   **Calcination:** 900°C for 6 hours in a Pt–Au 5% alloy crucible.
*   **Re-grinding:** Planetary ball milling for 1 hour.
*   **Pellet Pressing:** Cold isostatic pressing (CIP) at 300 MPa.
*   **Sintering:** 1150°C for 15 hours in air, using a Pt–Au 5% alloy crucible. Pellets were covered with mother powder during sintering."
c71,Li52.0La21.6Ba2.4Zr9.6Ta6.4O96.0,230,12.964,12.964,12.964,90.0,90.0,90.0,0.000492,10.3389/fenrg.2016.00028,No Match,"**Method Name:**
Conventional Solid State Reaction Method

**Procedure Summary:**
Stoichiometric amounts of precursor materials, specifically LiOH⋅H2O (with a 10% excess to compensate for lithium evaporation), La(OH)3, BaCO3, ZrO2, and Ta2O5, were initially ground and mixed using a planetary ball mill with zirconia balls and ethanol. The resulting mixture was then calcined. After calcination, the powders were re-ground using planetary ball milling. These re-ground powders were subsequently pressed into pellets via cold isostatic pressing (CIP). Finally, the pellets were sintered, with each pellet covered by its own mother powder to minimize lithium loss and prevent the formation of undesired secondary phases.

**Key Conditions:**
*   **Initial Mixing:** Planetary ball milling for 3 hours with zirconia balls and ethanol.
*   **Calcination:** 900°C for 6 hours in a Pt–Au 5% alloy crucible.
*   **Re-grinding:** Planetary ball milling for 1 hour.
*   **Pellet Pressing:** Cold isostatic pressing (CIP) at 300 MPa.
*   **Sintering:** 1150°C for 15 hours in air, using a Pt–Au 5% alloy crucible. Pellets were covered with mother powder during sintering."
rgo,Li56.0La24.0Ta16.0O104.0,230,12.82,12.82,12.82,90.0,90.0,90.0,2.65e-06,10.1016/j.ssi.2009.07.002,No Match,
